% Model:              new design bilayer_eg1.mph
% Version:            COMSOL 5.3.0.248
% Date:               Oct 6 2017, 14:30
% Table:              Table 1 - Global Evaluation 1 (es.Forcey_Electrosf)
% gd (1)                 S184d (1)                Electromagnetic force, y component (N)
35                       18                       0.4512150723910939
35                       19                       0.4476576605266668
35                       20                       0.444205997815193
35                       21                       0.4408705996349507
35                       22                       0.43765758274945277
35                       23                       0.4345698576624962
35                       24                       0.43160800466101024
35                       25                       0.428770921673629
35                       26                       0.4260563058463844
35                       27                       0.4234610128609612
35                       28                       0.42098132565930413
35                       29                       0.41861315558053164
35                       30                       0.4163521927778801
40                       1                        0.24173995707962845
40                       2                        0.3701847778317921
40                       3                        0.4362739332792104
40                       4                        0.47299548435487865
40                       5                        0.4941498340722702
40                       6                        0.5063297559941164
40                       7                        0.5130318249363471
40                       8                        0.5162589830858011
40                       9                        0.5172263010514155
40                       10                       0.5167035781352398
40                       11                       0.5151949696850989
40                       12                       0.5130391633222559
40                       13                       0.51046812274139
40                       14                       0.5076429913448895
40                       15                       0.5046768071882909
40                       16                       0.5016492979877528
40                       17                       0.49861675843138836
40                       18                       0.49561878484985705
40                       19                       0.49268295089659925
40                       20                       0.4898281045821337
40                       21                       0.48706672445527527
40                       22                       0.4844066228537324
40                       23                       0.4818521892860564
40                       24                       0.4794053056576265
40                       25                       0.47706602460180003
40                       26                       0.4748330750352916
40                       27                       0.4727042405547148
40                       28                       0.47067664349707705
40                       29                       0.4687469585238302
40                       30                       0.46691157323253835
